plant_species;treatment;replicate;shoot_fresh_weight;shoot_dry_weight;root_dry_weight
arabidopsis;15;1;2.0216;0.2263;
arabidopsis;15;2;2.3708;0.2617;
arabidopsis;15;3;1.6843;0.1623;
arabidopsis;15;4;2.2257;0.2233;
arabidopsis;15;5;2.3631;0.2499;
arabidopsis;15;6;2.3476;0.2032;
arabidopsis;15;7;1.9824;0.1998;
arabidopsis;12;1;1.6064;0.1819;0.0049
arabidopsis;12;2;1.6138;0.17;0.0107
arabidopsis;12;3;1.7444;0.1745;0.0061
arabidopsis;12;4;1.8521;0.1921;0.011
arabidopsis;12;5;1.468;0.1475;0.0083
arabidopsis;12;6;1.2995;0.1189;0.0041
arabidopsis;12;7;2.0378;0.2085;0.0112
arabidopsis;9;1;0.8894;0.1088;0.0101
arabidopsis;9;2;0.923;0.1204;0.0063
arabidopsis;9;3;1.1346;0.1389;0.0092
arabidopsis;9;4;1.1562;0.1227;0.007
arabidopsis;9;5;0.7708;0.1091;0.0061
arabidopsis;9;6;1.0317;0.1314;0.0103
arabidopsis;9;7;1.666;0.1878;0.0171
arabidopsis;6;1;0.1575;0.0347;0.004
arabidopsis;6;2;0.3578;0.0706;0.0114
arabidopsis;6;3;0.1288;0.0268;0.0051
arabidopsis;6;4;0.2615;0.0613;0.0096
arabidopsis;6;5;0.2352;0.0527;0.0032
arabidopsis;6;6;0.0945;0.0205;0.0026
arabidopsis;6;7;0.1973;0.0407;0.0098
tomato;15;1;2.25;0.2508;
tomato;15;2;1.93;0.2177;
tomato;15;3;1.01;0.1092;
tomato;15;4;2.63;0.3244;
tomato;15;5;2.45;0.3021;
tomato;15;6;2.77;0.333;
tomato;15;7;1.85;0.2101;
tomato;12;1;2.26;0.285;0.0181
tomato;12;2;2.23;0.2615;0.016
tomato;12;3;2.34;0.2709;0.015
tomato;12;4;2.25;0.321;0.0099
tomato;12;5;2.4;0.3452;0.0294
tomato;12;6;2.8;0.3775;0.0267
tomato;12;7;3.06;0.3888;0.0156
tomato;9;1;1.6;0.2204;0.0147
tomato;9;2;2.09;0.2684;0.0169
tomato;9;3;2.6;0.3492;0.024
tomato;9;4;1.2;0.1416;0.0077
tomato;9;5;2.1;0.2655;0.0201
tomato;9;6;1.81;0.238;0.0143
tomato;9;7;1.57;0.295;0.0127
tomato;6;1;0.67;0.1269;0.0127
tomato;6;2;0.71;0.1098;0.0121
tomato;6;3;0.73;0.1206;0.0115
tomato;6;4;0.95;0.1582;0.0067
tomato;6;5;0.58;0.1022;0.0107
tomato;6;6;0.62;0.1095;0.0115
tomato;6;7;0.86;0.1415;0.0202
